Date,Open,High,Low,Close
2/14/24,15.81,16.2,15.34,15.44
2/15/24,15.44,15.66,15.11,15.16
2/16/24,15.23,15.55,14.9,15.24
2/19/24,15.22,16.12,13.7,16.02
2/20/24,16.02,16.36,14.21,16.08
2/21/24,16.07,16.31,15.68,15.92
2/22/24,15.93,16.15,15.13,15.27
2/23/24,15.2,15.44,14.84,14.96
2/26/24,14.97,15.96,13.76,15.6
2/27/24,15.6,16,15.53,15.75
2/28/24,15.73,16.74,15.31,16.62
2/29/24,16.33,16.55,15.37,15.48
3/1/24,15.57,15.64,15,15.19
3/4/24,14.99,15.3,14.82,14.98
3/5/24,14.92,15.17,14.18,14.36
3/6/24,14.38,14.71,13.91,14.32
3/7/24,14.3,14.43,13.56,13.67
3/11/24,13.61,14.55,13.61,13.95
3/12/24,14,14.2,13.58,13.72
3/13/24,13.64,15.01,13.53,14.44
3/14/24,14.43,14.68,13.52,13.57
3/15/24,13.62,14.33,13.59,13.8
3/18/24,13.69,14.62,13.69,13.84
3/19/24,13.9,14.45,13.88,14.08
3/20/24,14.11,14.28,13.09,13.52
3/21/24,13.47,13.47,12.34,12.5
3/22/24,12.51,13.05,11.81,12.15
3/26/24,12.22,13.1,12.09,12.79
3/27/24,12.82,13.01,12.53,12.74
3/28/24,12.7,13.18,12.26,12.69
4/1/24,12.83,13.36,12.01,12.03
4/2/24,12.08,12.31,11.6,11.72
4/3/24,11.65,11.83,11.31,11.41
4/4/24,11.37,11.84,10.86,11.26
4/8/24,11.34,11.74,11.13,11.59
4/9/24,11.61,11.61,10.62,11.36
4/10/24,11.36,11.36,10.99,11.12
4/12/24,11.11,11.61,11.11,11.6
4/15/24,11.53,12.74,11.31,12.45
4/16/24,12.47,12.93,12.34,12.62
4/18/24,12.62,13.39,12.03,12.88
4/19/24,13.04,14.41,11.92,13.37
4/22/24,13.46,13.46,12.61,12.69
4/23/24,12.7,12.7,10.06,10.31
4/24/24,10.2,11.13,10.06,10.35
4/25/24,10.28,11.46,10.26,10.58
4/26/24,10.73,11.32,10.59,10.88
4/29/24,10.93,12.49,10.93,12.2
4/30/24,12.24,13.21,12.24,12.96
5/2/24,12.87,13.95,12.87,13.37
5/3/24,13.45,15.31,13.45,14.84
5/6/24,14.62,16.96,14.62,16.55
5/7/24,16.6,17.64,16.6,17.05
5/8/24,17.01,18.32,16.46,17.03
5/9/24,17.08,19.17,17.08,18.26
5/10/24,18.2,19.01,18,18.6
5/13/24,18.47,21.49,18.47,20.56
5/14/24,20.6,21.88,20.11,20.46
5/15/24,20.2,20.66,19.87,20.41
5/16/24,20.27,21.11,18.97,19.83
5/17/24,20,20.37,18.98,19.78
5/21/24,20.53,22.3,20.53,21.97
5/22/24,21.81,22.29,18.19,21.49
5/23/24,21.47,24.22,18.84,21.31
5/24/24,21.38,21.9,20.59,21.79
5/27/24,21.71,26.2,18.44,23.23
5/28/24,23.19,24.48,22.03,24.15
5/29/24,24.2,24.77,23.55,24.27
5/30/24,24.18,24.52,22.75,24.05
5/31/24,24.18,24.81,22.6,24.76
6/3/24,24.6,24.6,19.12,21.13
6/4/24,20.94,31.71,18.8,25.89
6/5/24,26.75,26.93,18.66,19.05
